Epoch,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,0.01,2.1227371529545014,1.9763223722482184,22.276,28.87
1,0.01,1.8530701853125298,1.7857474787220073,34.08,35.58
2,0.01,1.722516593725785,1.6870006960668382,38.918,40.0
3,0.01,1.6358115776725437,1.6684465226094434,41.996,40.04
4,0.01,1.5832305686248234,1.5591378181603304,43.756,44.23
5,0.01,1.5350760636122331,1.5667950347730308,45.802,44.06
6,0.01,1.4942477476566345,1.4839511282125097,47.032,47.18
7,0.01,1.451587500169759,1.4556031409342578,48.282,48.33
8,0.01,1.407455393420461,1.398418125832916,50.046,50.25
9,0.01,1.3651925017461752,1.3780242257816777,51.396,50.8
10,0.01,1.3312182227516418,1.3596993350678948,52.594,51.58
11,0.01,1.2965449581060873,1.3404201823435011,53.916,52.13
12,0.01,1.264254561318156,1.3081962606709474,55.234,52.95
13,0.01,1.2341100757994006,1.3004478497110354,56.202,53.87
14,0.01,1.2119434975144807,1.2811073171105354,56.94,54.91
15,0.01,1.186040669298538,1.282467033073401,57.974,55.18
16,0.01,1.1588994163229032,1.2605093736557444,59.006,55.42
17,0.01,1.1322280504666935,1.3029503347767386,59.952,54.51
18,0.01,1.110037364542027,1.2601723257143786,60.452,55.29
19,0.01,1.0899037611301599,1.221284156012687,61.562,56.94
20,0.01,1.065658765604429,1.2063247796836172,62.19,57.33
21,0.01,1.0434990158623747,1.219173315983669,63.216,57.35
22,0.01,1.0223002292006218,1.2176252576955564,63.848,57.52
23,0.01,0.996732884736927,1.2274304180388238,64.594,57.07
24,0.01,0.9753750340865396,1.2086412485238094,65.56,57.55
25,0.01,0.9493541504111132,1.1965144333566071,66.41,58.51
26,0.01,0.9235828201026868,1.1917072340940973,67.174,58.51
27,0.01,0.9058842351826866,1.1839642300727262,67.912,59.1
28,0.01,0.8833816263376905,1.1818696655285585,68.664,59.81
29,0.01,0.8601557254943701,1.1887797462712428,69.624,59.07
30,0.01,0.8291236392372404,1.2085231455268375,70.886,59.23
31,0.01,0.8054796496925452,1.192703994216433,71.516,60.04
32,0.01,0.7788560730798165,1.2338930918912219,72.454,59.01
33,0.01,0.7552536940178298,1.1910743033810027,73.182,59.76
34,0.01,0.7305835464878765,1.1846128747721387,74.224,60.56
35,0.01,0.7076117093377101,1.222679823447185,75.086,60.13
36,0.01,0.6812758816934913,1.2021705587958074,76.162,60.32
37,0.01,0.6619212490975704,1.2147501137605898,77.09,60.41
38,0.01,0.636772006864438,1.2160718482770738,77.408,61.62
39,0.01,0.6116086183606512,1.2293653901974866,78.224,60.65
40,0.01,0.5922295752998508,1.2486716281076906,79.172,60.49
41,0.01,0.5740134017089443,1.2666882022171264,79.782,60.79
42,0.01,0.5485057057169698,1.2974830061007456,80.664,59.78
43,0.01,0.5320179914040943,1.2561721479057506,81.032,60.78
44,0.01,0.5106030672864841,1.2788947163873416,81.828,61.11
45,0.01,0.48917520210108795,1.2800219958754862,82.618,61.19
46,0.01,0.4772757644886556,1.2733538188752096,83.006,61.1
47,0.01,0.453070038591352,1.2893345242093324,83.882,62.03
48,0.01,0.4404650585311453,1.3129143843984907,84.476,61.77
49,0.01,0.41698237449464287,1.3043919543551792,85.202,62.12
50,0.01,0.407090080935327,1.3140514887821901,85.648,62.1
51,0.01,0.3871197738801427,1.3486703835475218,86.404,62.27
52,0.01,0.3759797233373613,1.3741388598065467,86.512,61.31
53,0.01,0.36123616947694814,1.3731307163360014,87.364,61.55
54,0.01,0.34839711561227393,1.3865553174808527,87.716,62.04
55,0.01,0.33671276002665007,1.3837181086752826,88.264,62.07
56,0.01,0.32295668164215735,1.4420523332182769,88.65,61.85
57,0.01,0.314156122619996,1.4072208393151593,88.982,62.12
58,0.01,0.3015392156284484,1.435640217392308,89.446,61.88
59,0.01,0.2888469200609895,1.457727929209448,89.854,61.44
60,0.01,0.28156547095921947,1.4679857549394013,90.102,61.6
61,0.01,0.2760050746200182,1.496033228506708,90.232,61.75
62,0.01,0.2632536660698826,1.4904921658479484,90.762,62.43
63,0.01,0.2584048267977927,1.4853100378042574,90.894,63.02
64,0.01,0.2482021559706277,1.5431792033705742,91.308,62.17
65,0.01,0.24021445760679672,1.4952919661619102,91.678,62.36
66,0.01,0.23139266071417142,1.5732229173563088,91.98,62.37
67,0.01,0.2249935566807342,1.5782187372256236,92.066,62.07
68,0.01,0.22019332930769608,1.5200596478334658,92.256,63.17
69,0.01,0.20890628861839813,1.581685448148448,92.704,62.56
70,0.01,0.20250803306508247,1.5867147441882237,92.992,62.83
71,0.01,0.20206892095944462,1.5874998596063845,92.934,62.1
72,0.01,0.19935791111548842,1.6097919902983744,93.168,62.87
73,0.01,0.18657269327879866,1.6645543336108992,93.496,62.1
74,0.01,0.1833244787524347,1.6092630184380112,93.508,62.86
75,0.01,0.1813227297771541,1.636567843188146,93.652,62.57
76,0.01,0.17551160921030642,1.6467597940165526,93.904,62.76
77,0.01,0.17411615279362636,1.6758352833189023,93.94,63.68
78,0.01,0.16479770261365587,1.674466413297471,94.368,63.43
79,0.01,0.16421572948851243,1.6885737567950205,94.322,62.45
80,0.01,0.1571062321410231,1.6646079174272574,94.658,63.18
81,0.01,0.15598304476827154,1.696654029332908,94.758,62.98
82,0.01,0.15340417949601892,1.6815349414090441,94.654,63.51
83,0.01,0.14771943425049866,1.7527507065208094,94.862,62.75
84,0.01,0.15023365125174412,1.7031401327461193,94.732,63.11
85,0.01,0.13859340499448197,1.776109211384111,95.096,62.12
86,0.01,0.13841259288018012,1.7561255446664847,95.1,63.01
