Epoch,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,0.009527072149764903,2.1566669870825375,2.0794105066615307,19.244,22.93
1,0.011866767867403826,2.025607529198727,2.0158602097991167,25.87,25.73
2,0.01125167656645278,1.97229505362718,1.9683966970747444,27.928,27.96
3,0.01498715222547513,1.9475655901767408,1.9309160003236905,29.244,29.15
4,0.02247731800229475,1.9413648788886302,1.9697338122471122,29.336,27.89
5,0.029107875576939606,1.9388380289992408,1.959939512477559,29.044,27.71
6,0.029364738451283526,1.9209218246247761,1.9573992202236394,29.99,28.4
7,0.03758067252601727,1.9234909223168708,1.9488226479026163,29.45,28.62
8,0.02814644032834207,1.8899617839957137,1.9052953340445355,31.212,30.25
9,0.0231302666334361,1.8739421876800029,1.9405105546781212,31.82,30.17
10,0.020409831809065866,1.8646940297787757,1.875986811461722,32.448,31.46
11,0.01728592460454054,1.8533068864851656,1.8860550708831496,32.966,32.06
12,0.02075213907651497,1.8500425213438165,1.8663519719603714,32.82,32.28
13,0.01817942110813517,1.8450803540246872,1.8452234943960881,33.106,33.15
14,0.011239202190301046,1.8237855685946276,1.834165977064971,34.236,34.08
15,0.014255826670823438,1.8232603817034865,1.8420119369105927,34.218,33.5
16,0.015363416520758622,1.8263001260550127,1.8394853818188808,34.138,33.38
17,0.020477812028704773,1.834386497812198,1.848877454259593,33.638,32.99
18,0.01793614677624135,1.8264995112138636,1.8497523221240681,34.008,32.33
19,0.022800070149512502,1.8300892289947062,1.8899458836598002,33.622,31.34
20,0.019933541644165432,1.8232171716897383,1.835501349655686,34.03,33.9
21,0.019359497689772465,1.8169667716221432,1.8390784476213395,34.596,33.95
22,0.01779391995922191,1.8062842378530966,1.841029756388087,34.948,32.47
23,0.020096623855286082,1.8137828645193974,1.8302820594447433,34.392,33.32
24,0.02606471896324549,1.8238574441741495,1.8398766585975697,33.756,33.43
25,0.015494155153022287,1.7968466662994735,1.8316845552177186,35.292,33.98
26,0.01193368600707168,1.7874918778229247,1.8001554893080596,35.622,35.05
27,0.009625368738910123,1.7750625643888702,1.7889215915825716,36.124,34.84
28,0.006935056444723824,1.7632799514419282,1.7907601792341585,36.738,35.59
29,0.006144858161213826,1.7642850417005436,1.7866914143228227,36.996,36.2
30,0.004447649254689363,1.7623748352460544,1.7702637485637787,37.002,36.59
31,0.003918201775979197,1.75560455477756,1.7788359109003833,37.278,35.92
32,0.0035126902322228644,1.7558402521226106,1.7724634743040535,37.198,36.44
33,0.005024999545350911,1.7552498332069963,1.7826564942195917,37.332,36.56
34,0.006718030042564484,1.754093117878565,1.7714141379496096,37.324,36.58
35,0.005714533378182513,1.750974460788395,1.7729641062438868,37.306,36.52
36,0.007373410185931782,1.7520376126784498,1.787273950637526,37.15,36.26
37,0.006223083369936283,1.7512446870584317,1.7635431547833096,37.36,36.6
38,0.00604680054961498,1.7534400497556037,1.7700035837805195,37.134,36.54
39,0.005482020079245105,1.7534514080228099,1.7668476006028,37.034,36.83
40,0.005577929999909503,1.7499569090431,1.7656845347896504,37.306,36.61
41,0.0070039434383702805,1.7485932373939572,1.7817062663424545,37.394,36.03
42,0.00951736468841265,1.7606748354709363,1.780262869634446,36.722,35.73
43,0.010213169738760516,1.7552487400486647,1.779174368852263,36.782,36.07
44,0.011915381564319635,1.7618258499428439,1.7718583846547802,36.65,35.74
45,0.01033891596681243,1.7541977444573131,1.7858695338486106,36.852,35.8
46,0.008112928402231111,1.748902794192819,1.7747370315964814,37.252,36.08
47,0.009165842597172309,1.7516118567008192,1.7890582813578806,37.046,35.5
48,0.006996045330401083,1.7389884847204398,1.7704912545574698,38.18,36.9
49,0.006587575255056941,1.7424925504742985,1.7718710003385119,37.972,36.19
50,0.006101018509135677,1.7322448958521304,1.7535983779627806,38.052,36.94
51,0.00703364417631254,1.737880810447361,1.7720976817380092,37.864,36.71
52,0.006327653592848943,1.7336915690270835,1.7566056828589955,37.854,36.82
53,0.0055825767389427235,1.7313237647571222,1.7594521038091866,38.328,37.38
54,0.005177930088015917,1.7266402038771782,1.765026986219321,38.378,36.64
55,0.006076807382855625,1.7282238252022688,1.7754893788866177,38.158,35.81
56,0.005139791914979817,1.7277697815614588,1.7627330729915838,38.256,37.12
57,0.006562511808224444,1.727762443940048,1.7592917498509595,38.222,36.62
58,0.006521170818225641,1.729375859203241,1.7632039390551817,38.094,36.32
59,0.00699888069511737,1.7305575589389752,1.7683496573928055,38.052,36.65
60,0.0057259599125925025,1.7236357823662136,1.7599562368575175,38.162,36.83
61,0.0060462700847376425,1.727544730581591,1.773284073088579,38.36,36.49
62,0.004738755560974177,1.7240046755127285,1.7478210197132864,38.372,37.75
63,0.004971357768753644,1.7229388033032722,1.7510789959294022,38.434,36.92
64,0.005296916806848881,1.718589354811422,1.7636648279846094,38.706,36.76
65,0.003503459334062134,1.7131553135259683,1.7526917852413881,38.558,37.2
66,0.003985600210852731,1.7138677443689703,1.744714636711558,38.45,37.39
67,0.0032797481429612772,1.7150843478834537,1.750915138584793,38.686,36.97
68,0.0039529762711264325,1.7176867363702915,1.7492911405624099,38.514,37.71
69,0.004127044708972051,1.7121725989424663,1.7397823796910086,38.86,37.36
70,0.003700990185312046,1.7097514427226523,1.753106173436353,38.7,37.3
71,0.004201365303039049,1.7177652971214041,1.7509661852174503,38.726,37.16
72,0.005042067990753319,1.7151191702584172,1.7630431393908848,38.718,37.22
73,0.005058608649231681,1.7156188695327095,1.7434517297015828,38.934,37.67
74,0.006084822019637552,1.7184711591057156,1.7527265252581068,38.906,37.22
